,c,cell,captureStatus,cellline,plate,platerow,ngeneson,obstime,S.hat,capture,capture.orig,prior1,prior,prior3,xyz
97,97,2,PC36D,g2/m,PC3,14,D,0.8932806324,3,0.056135937673631,3,3,2.78333333333333,1.78333333333333,2.375
98,98,2,PC36E,g2/m,PC3,14,E,0.9090909091,3,0.098875321903574,3,3,3.40833333333333,1.575,1.78333333333333
99,99,2,PC36F,g2/m,PC3,14,F,0.4782608696,3,-0.130498335059617,3,3,3.46666666666667,2.04166666666667,1.28333333333333
100,100,2,PC3AA,g0/g1,PC3,15,A,0.5454545455,1,-0.042066094902418,1,1,0.7,1.09166666666667,2.04166666666667
101,101,2,PC3AC,g0/g1,PC3,15,C,0.6600790514,1,0.042082074919751,1,1,1.6,1.66666666666667,1.24166666666667
102,102,2,PC3AD,g0/g1,PC3,15,D,0.628458498,1,0.046883787587449,1,1,1.88333333333333,1.28333333333333,1.825
103,103,2,PC3AE,g0/g1,PC3,15,E,0.6758893281,1,0.052234705963158,1,1,1.53333333333333,2.13333333333333,1.09166666666667
104,104,2,PC3AH,g2/m,PC3,15,H,0.8577075099,3,0.040901897806741,3,3,2.45,0.941666666666667,2.13333333333333
105,105,2,PC3BB,g0/g1,PC3,16,B,0.7588932806,1,0.075800805041063,1,1,2.51666666666667,1.24166666666667,1.575
106,106,2,PC3BD,g0/g1,PC3,16,D,0.6798418972,1,0.066759491332279,1,1,1.175,2.225,2.65
107,107,2,PC3BE,g0/g1,PC3,16,E,0.5691699605,1,0.026712996975311,1,1,1.9,3.3,0.958333333333333
108,108,3,PC33A,s,PC3,11,A,0.95256917,2,0.091468139531723,2,2,3.16666666666667,0.958333333333333,2.09166666666667
109,109,3,PC33B,s,PC3,11,B,0.9407114625,2,0.079060072960295,2,2,1.56666666666667,1.03333333333333,2.30833333333333
110,110,3,PC33C,s,PC3,11,C,0.95256917,2,0.091209491185005,2,2,1.85,1.975,3.2
111,111,3,PC33D,s,PC3,11,D,0.8814229249,2,0.047595147746854,2,2,2.14166666666667,2.09166666666667,1.25833333333333
112,112,3,PC33E,s,PC3,11,E,0.8023715415,2,0.074972686883967,2,2,1.96666666666667,2.30833333333333,3.275
113,113,3,PC33F,s,PC3,11,F,0.9367588933,2,0.090629338733889,2,2,1.70833333333333,3.2,1.75833333333333
114,114,3,PC33G,s,PC3,11,G,0.9249011858,2,0.067262833700578,2,2,0.5,2.65,1.41666666666667
115,115,3,PC34A,s,PC3,12,A,0.5849802372,2,0.013773632281726,2,2,3.30833333333333,2.375,1.03333333333333
116,116,3,PC34B,s,PC3,12,B,0.8616600791,2,0.071214375380886,2,2,3.19166666666667,3.05833333333333,1.20833333333333
117,117,3,PC34C,s,PC3,12,C,0.9130434783,2,0.081267058628364,2,2,2.40833333333333,1.20833333333333,2.03333333333333
118,118,3,PC34D,s,PC3,12,D,0.8774703557,2,0.091550457204924,2,2,1.43333333333333,0.758333333333333,0.858333333333333
119,119,3,PC34E,s,PC3,12,E,0.7272727273,2,0.021632003852878,2,2,1.75,2.03333333333333,2.95833333333333
120,120,3,PC34F,s,PC3,12,F,0.6798418972,2,0.0108903099468,2,2,0.633333333333333,1.25833333333333,0.816666666666667
121,121,3,PC34G,s,PC3,12,G,0.8458498024,2,0.065541737867456,2,2,1.925,1.75833333333333,2.64166666666667
122,122,3,PC35A,g2/m,PC3,13,A,0.9051383399,3,0.080954466583563,3,3,0.533333333333333,1.41666666666667,2.225
123,123,3,PC35B,g2/m,PC3,13,B,0.9209486166,3,0.096249096071705,3,3,2.61666666666667,3.49166666666667,2.925
124,124,3,PC35C,g2/m,PC3,13,C,0.7549407115,3,0.054446735652005,3,3,2.80833333333333,0.858333333333333,3.05833333333333
125,125,3,PC35E,g2/m,PC3,13,E,0.814229249,3,0.049817042084318,3,3,1.94166666666667,2.925,1.71666666666667
126,126,3,PC35F,g2/m,PC3,13,F,0.5770750988,3,-0.080867814179265,3,3,2.28333333333333,1.71666666666667,1.08333333333333
127,127,3,PC35G,g2/m,PC3,13,G,0.5335968379,3,-0.061537068372697,3,3,1.45833333333333,2.95833333333333,2.55
128,128,3,PC36A,g2/m,PC3,14,A,0.7035573123,3,0.044764309225626,3,3,0.65,3.275,2.33333333333333
129,129,3,PC36B,g2/m,PC3,14,B,0.9565217391,3,0.110927439804061,3,3,1.73333333333333,1.08333333333333,3.26666666666667
130,130,3,PC36C,g2/m,PC3,14,C,0.6007905138,3,-0.022078751185234,3,3,2.00833333333333,0.733333333333333,1.39166666666667
131,131,3,PC36D,g2/m,PC3,14,D,0.652173913,3,0.011500414875649,3,3,0.808333333333333,1.425,0.733333333333333
132,132,3,PC36E,g2/m,PC3,14,E,0.7035573123,3,0.050490405621928,3,3,0.583333333333333,2.33333333333333,2.55833333333333
133,133,3,PC3AA,g0/g1,PC3,15,A,0.8102766798,1,0.086452264890969,1,1,2.31666666666667,2.34166666666667,3.125
134,134,3,PC3AC,g0/g1,PC3,15,C,0.6916996047,1,0.053961592420208,1,1,2.025,2.23333333333333,3.35833333333333
135,135,3,PC3AD,g0/g1,PC3,15,D,0.7549407115,1,0.073867403076323,1,1,0.591666666666667,0.816666666666667,0.541666666666667
136,136,3,PC3AE,g0/g1,PC3,15,E,0.6837944664,1,0.055201569861186,1,1,1.93333333333333,2.64166666666667,1.425
137,137,3,PC3AF,s,PC3,15,F,0.790513834,2,0.063738177135806,2,2,2.95,2.55833333333333,2.66666666666667
138,138,3,PC3AG,s,PC3,15,G,0.9051383399,2,0.082674746403143,2,2,0.833333333333333,3.26666666666667,0.883333333333333
139,139,3,PC3AH,g2/m,PC3,15,H,0.7509881423,3,0.057763650277514,3,3,1.98333333333333,0.891666666666667,0.891666666666667
140,140,3,PC3BC,g0/g1,PC3,16,C,0.7154150198,1,0.091930194651974,1,1,0.558333333333333,3.125,3.49166666666667
141,141,3,PC3BE,g0/g1,PC3,16,E,0.7272727273,1,0.074949809973302,1,1,1.15833333333333,2.66666666666667,0.616666666666667
142,142,3,PC3BG,s,PC3,16,G,0.9209486166,2,0.069726568557795,2,2,3.29166666666667,3.35833333333333,2.34166666666667
143,143,4,PC33A,s,PC3,11,A,0.9328063241,2,0.104611221036299,2,2,0.8,1.39166666666667,2.90833333333333
144,144,4,PC33D,s,PC3,11,D,0.8221343874,2,0.045976178306524,2,2,2.89166666666667,0.541666666666667,2.23333333333333
145,145,4,PC33F,s,PC3,11,F,0.9367588933,2,0.071368850212885,2,2,0.575,1.31666666666667,2.93333333333333
146,146,4,PC33G,s,PC3,11,G,0.9486166008,2,0.096723236625224,2,2,0.516666666666667,2.01666666666667,1.31666666666667
147,147,4,PC34A,s,PC3,12,A,0.9367588933,2,0.100252906456191,2,2,2.325,2.90833333333333,2.01666666666667
148,148,4,PC34B,s,PC3,12,B,0.7114624506,2,0.035672846265098,2,2,1.74166666666667,0.883333333333333,2.975
149,149,4,PC34C,s,PC3,12,C,0.8023715415,2,0.076637277234922,2,2,2.88333333333333,0.65,0.525
150,150,4,PC34D,s,PC3,12,D,0.7391304348,2,0.048138603494877,2,2,1.46666666666667,0.525,2.94166666666667
151,151,4,PC34E,s,PC3,12,E,0.7628458498,2,0.062906109442606,2,2,2.575,2.93333333333333,3.20833333333333
152,152,4,PC34F,s,PC3,12,F,0.9169960474,2,0.058845787754347,2,2,1.675,1.725,0.508333333333333
153,153,4,PC34G,s,PC3,12,G,0.6600790514,2,0.022094046433373,2,2,1.29166666666667,2.975,1.59166666666667
154,154,4,PC35A,g2/m,PC3,13,A,0.766798419,3,0.08937968786516,3,3,0.566666666666667,3.20833333333333,2.875
155,155,4,PC35B,g2/m,PC3,13,B,0.7747035573,3,0.068375548491077,3,3,0.875,2.55,1.725
156,156,4,PC35C,g2/m,PC3,13,C,0.8458498024,3,0.059767737970602,3,3,2.60833333333333,0.616666666666667,2.59166666666667
157,157,4,PC35D,g2/m,PC3,13,D,0.4940711462,3,-0.097372978965515,3,3,1.16666666666667,3.28333333333333,1.35833333333333
158,158,4,PC35F,g2/m,PC3,13,F,0.6363636364,3,0.003217350238838,3,3,1.63333333333333,2.875,3.28333333333333
