,cell,obstime,condition,capture,obstime.orig,capture.orig,init_1,init_2,init_3,init_4,init_5,init_6,init_7,init_8,init_9,init_10,init_11,init_12,init_13,init_14,init_15,init_16,init_17,init_18,init_19,init_20
1,GSM734540,6,Botrytis,6,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8.47826086956522,8.47826086956522
2,GSM734541,6,Botrytis,6,4,4,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,4.82608695652174,12.1304347826087,12.1304347826087
3,GSM734542,6,Botrytis,6,6,6,8.47826086956522,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,6.65217391304348,3,10.304347826087
4,GSM734543,6,Botrytis,6,8,8,6.65217391304348,10.304347826087,10.304347826087,8.47826086956522,8.47826086956522,8.47826086956522,10.304347826087,8.47826086956522,10.304347826087,8.47826086956522,8.47826086956522,10.304347826087,10.304347826087,10.304347826087,8.47826086956522,8.47826086956522,8.47826086956522,10.304347826087,6.65217391304348,6.65217391304348
5,GSM734544,6,Botrytis,6,10,10,10.304347826087,8.47826086956522,8.47826086956522,10.304347826087,10.304347826087,10.304347826087,8.47826086956522,10.304347826087,8.47826086956522,10.304347826087,10.304347826087,8.47826086956522,8.47826086956522,8.47826086956522,10.304347826087,10.304347826087,10.304347826087,8.47826086956522,13.9565217391304,3
6,GSM734545,6,Botrytis,6,12,12,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,12.1304347826087,4.82608695652174,4.82608695652174
7,GSM734546,18,Botrytis,18,14,14,13.9565217391304,13.9565217391304,13.9565217391304,15.7826086956522,13.9565217391304,13.9565217391304,15.7826086956522,13.9565217391304,13.9565217391304,13.9565217391304,13.9565217391304,13.9565217391304,13.9565217391304,13.9565217391304,13.9565217391304,13.9565217391304,13.9565217391304,13.9565217391304,15.7826086956522,15.7826086956522
8,GSM734547,18,Botrytis,18,16,16,15.7826086956522,15.7826086956522,15.7826086956522,13.9565217391304,15.7826086956522,15.7826086956522,13.9565217391304,15.7826086956522,15.7826086956522,15.7826086956522,15.7826086956522,15.7826086956522,15.7826086956522,15.7826086956522,15.7826086956522,15.7826086956522,15.7826086956522,15.7826086956522,10.304347826087,13.9565217391304
9,GSM734548,18,Botrytis,18,18,18,17.6086956521739,17.6086956521739,17.6086956521739,19.4347826086957,19.4347826086957,17.6086956521739,17.6086956521739,17.6086956521739,17.6086956521739,19.4347826086957,17.6086956521739,17.6086956521739,17.6086956521739,17.6086956521739,17.6086956521739,17.6086956521739,17.6086956521739,17.6086956521739,19.4347826086957,19.4347826086957
10,GSM734549,18,Botrytis,18,20,20,19.4347826086957,19.4347826086957,19.4347826086957,17.6086956521739,17.6086956521739,19.4347826086957,19.4347826086957,19.4347826086957,19.4347826086957,17.6086956521739,19.4347826086957,19.4347826086957,19.4347826086957,19.4347826086957,19.4347826086957,19.4347826086957,19.4347826086957,19.4347826086957,17.6086956521739,17.6086956521739
