,cell,obstime,condition,capture,obstime.orig,capture.orig,init_1,init_2,init_3,init_4,init_5,init_6,init_7,init_8,init_9,init_10,init_11,init_12,init_13,init_14,init_15,init_16,init_17,init_18,init_19,init_20
11,GSM734550,18,Botrytis,18,22,22,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174,21.2608695652174
12,GSM734551,18,Botrytis,18,24,24,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391,23.0869565217391
13,GSM734552,30,Botrytis,30,26,26,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609,24.9130434782609
14,GSM734553,30,Botrytis,30,28,28,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,26.7391304347826,35.8695652173913,26.7391304347826,26.7391304347826
15,GSM734554,30,Botrytis,30,30,30,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,28.5652173913043,26.7391304347826,28.5652173913043,28.5652173913043
16,GSM734555,30,Botrytis,30,32,32,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,32.2173913043478,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,30.3913043478261,28.5652173913043,34.0434782608696,34.0434782608696
17,GSM734556,30,Botrytis,30,34,34,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,30.3913043478261,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,32.2173913043478,45,35.8695652173913
18,GSM734557,30,Botrytis,30,36,36,34.0434782608696,35.8695652173913,35.8695652173913,35.8695652173913,34.0434782608696,35.8695652173913,35.8695652173913,34.0434782608696,35.8695652173913,35.8695652173913,35.8695652173913,35.8695652173913,34.0434782608696,45,34.0434782608696,34.0434782608696,45,30.3913043478261,41.3478260869565,41.3478260869565
19,GSM734558,42,Botrytis,42,38,38,43.1739130434783,43.1739130434783,43.1739130434783,34.0434782608696,41.3478260869565,37.695652173913,37.695652173913,41.3478260869565,37.695652173913,37.695652173913,37.695652173913,37.695652173913,35.8695652173913,41.3478260869565,41.3478260869565,43.1739130434783,41.3478260869565,41.3478260869565,30.3913043478261,30.3913043478261
20,GSM734559,42,Botrytis,42,40,40,39.5217391304348,34.0434782608696,34.0434782608696,37.695652173913,37.695652173913,34.0434782608696,39.5217391304348,37.695652173913,34.0434782608696,39.5217391304348,41.3478260869565,39.5217391304348,43.1739130434783,34.0434782608696,45,39.5217391304348,39.5217391304348,34.0434782608696,32.2173913043478,32.2173913043478
21,GSM734560,42,Botrytis,42,42,42,45,41.3478260869565,45,41.3478260869565,35.8695652173913,41.3478260869565,43.1739130434783,35.8695652173913,43.1739130434783,41.3478260869565,45,43.1739130434783,45,39.5217391304348,43.1739130434783,45,34.0434782608696,43.1739130434783,43.1739130434783,43.1739130434783
22,GSM734561,42,Botrytis,42,44,44,41.3478260869565,45,41.3478260869565,43.1739130434783,39.5217391304348,39.5217391304348,41.3478260869565,39.5217391304348,39.5217391304348,34.0434782608696,39.5217391304348,34.0434782608696,39.5217391304348,43.1739130434783,39.5217391304348,41.3478260869565,43.1739130434783,37.695652173913,37.695652173913,37.695652173913
23,GSM734562,42,Botrytis,42,46,46,37.695652173913,37.695652173913,37.695652173913,39.5217391304348,43.1739130434783,43.1739130434783,34.0434782608696,43.1739130434783,41.3478260869565,45,43.1739130434783,41.3478260869565,37.695652173913,37.695652173913,37.695652173913,37.695652173913,37.695652173913,39.5217391304348,39.5217391304348,39.5217391304348
24,GSM734563,42,Botrytis,42,48,48,35.8695652173913,39.5217391304348,39.5217391304348,45,45,45,45,45,45,43.1739130434783,34.0434782608696,45,41.3478260869565,35.8695652173913,35.8695652173913,35.8695652173913,35.8695652173913,45,35.8695652173913,45
