,timeDeLorean,sMean,sBest,time,sCorr,inducingPoints,GPLVM_avg,GPLVM_best,GPLVM_fitting_time,GPLVM_avg_roughness
1,30.7487754821777,0.982029565217391,0.98,3.47079420089722,0.969087423704698,4,0.976521739130434,0.976521739130435,3.56702400445938,0.736739681789558
2,33.1131110191345,0.986356735797592,0.990434782608695,4.07166504859924,0.969087423704698,6,0.994782608695652,0.994782608695652,3.72481113672256,0.71296487018388
3,35.9642586708069,0.998345869541583,0.999130434782609,4.16396856307983,0.969087423704698,8,0.998260869565217,0.998260869565217,3.99118355512619,0.709485754285435
4,39.3590760231018,0.997132173913043,0.998260869565217,4.40516901016235,0.969087423704698,10,0.999130434782608,0.999130434782608,4.69012902975082,0.70614936268503
5,41.1413946151733,0.997858912452551,0.997391304347826,4.9854691028595,0.969087423704698,12,0.999130434782608,0.999130434782608,5.09939683675766,0.70614936268503
6,45.0030190944672,0.998067826086956,0.998260869565217,6.42146229743958,0.969087423704698,14,0.999130434782608,0.999130434782608,6.33515343666077,0.70614936268503
7,49.5357937812805,0.997513694872149,0.999130434782609,6.00570297241211,0.969087423704698,16,0.999130434782608,0.999130434782608,7.33789802789688,0.70614936268503
8,53.9654033184052,0.997966521502763,0.999130434782609,7.14064526557922,0.969087423704698,18,0.999130434782608,0.999130434782608,8.14366278648376,0.70614936268503
9,55.9450974464417,0.996831304347826,0.999130434782609,7.1025447845459,0.969087423704698,20,0.999130434782608,0.999130434782608,9.79694242477417,0.70614936268503
10,60.4434785842896,0.997561739130435,0.999130434782609,7.8542845249176,0.969087423704698,22,0.999130434782608,0.999130434782608,10.157499396801,0.70614936268503
