,c,cell,assay,ko,stimulant,captureActual,replicate,cell.num,obstime,total,aligned,disrupted,Precocious,S.hat,capture,capture.orig,module.score,tau,init_1,init_2,init_3,init_4,init_5,init_6,init_7,init_8,init_9,init_10,init_11,init_12,init_13,init_14,init_15,init_16,init_17,init_18,init_19,init_20
1,1,Unstimulated_S15,,,,Unstimulated,,15,0,8930811,56.67,FALSE,Not,precocious,-0.268072077021289,0,1.14849722737838,1.14849722737838,-0.935296,-0.529411764705882,-0.738562091503268,0.176470588235294,-0.34640522875817,-0.529411764705882,0.176470588235294,-0.607843137254902,-0.607843137254902,-0.34640522875817,0.176470588235294,4.12418300653595,3.18300653594771,-0.686274509803922,-0.320261437908497,-0.529411764705882,2.76470588235294,0.202614379084967,-0.686274509803922,-0.686274509803922
2,2,Unstimulated_S16,,,,Unstimulated,,16,0,8438017,55.94,FALSE,Not,precocious,-0.023375112153875,0,3.60011533669161,3.60011533669161,3.80511,0.228758169934641,-0.92156862745098,-0.450980392156863,-0.450980392156863,-0.92156862745098,-0.34640522875817,-0.398692810457516,-0.398692810457516,0.176470588235294,-0.450980392156863,1.35294117647059,3,-0.555555555555556,-0.790849673202614,-0.92156862745098,3.54901960784314,-0.294117647058823,0.098039215686275,0.437908496732026
3,3,Unstimulated_S17,,,,Unstimulated,,17,0,8517120,54.22,FALSE,Not,precocious,-0.422503645217107,0,0.808898912243398,0.808898912243398,-0.652304,-0.320261437908497,-0.111111111111111,-0.34640522875817,-0.529411764705882,-0.738562091503268,-0.555555555555556,-0.032679738562092,-0.032679738562092,-0.450980392156863,-0.34640522875817,1.37908496732026,3.81045751633987,-0.764705882352941,0.254901960784314,-0.738562091503268,3.02614379084967,-0.163398692810457,2.03267973856209,0.098039215686275
4,4,Unstimulated_S23,,,,Unstimulated,,23,0,5975840,40.46,FALSE,Not,precocious,-0.869848207147478,0,1.1993965770403,1.1993965770403,-2.19484,-0.006535947712418,-0.529411764705882,-0.764705882352941,-0.738562091503268,-0.450980392156863,0.150326797385621,-0.555555555555556,-0.555555555555556,-0.111111111111111,-0.764705882352941,-0.34640522875817,3.6797385620915,-0.032679738562092,0.228758169934641,-0.450980392156863,3.7843137254902,-0.581699346405229,0.437908496732026,2.03267973856209
5,5,Unstimulated_S24,,,,Unstimulated,,24,0,11633075,58.51,FALSE,Not,precocious,-0.25007456687881,0,1.01976876921319,1.01976876921319,-0.605417,-0.92156862745098,-0.006535947712418,-0.92156862745098,-0.92156862745098,-0.34640522875817,-0.398692810457516,-0.764705882352941,-0.764705882352941,-0.006535947712418,-0.92156862745098,-0.450980392156863,2.89542483660131,-0.398692810457516,-0.006535947712418,-0.34640522875817,2.16339869281046,-0.686274509803922,1.16993464052288,1.16993464052288
6,6,Unstimulated_S26,,,,Unstimulated,,26,0,9029330,51.77,FALSE,Not,precocious,-0.147638597730895,0,0.767471074224595,0.767471074224595,-0.796426,0.254901960784314,0.202614379084967,-0.529411764705882,-0.764705882352941,-0.607843137254902,-0.712418300653595,-0.34640522875817,-0.34640522875817,-0.92156862745098,-0.529411764705882,-0.529411764705882,3.52287581699346,0.150326797385621,0.202614379084967,0.176470588235294,3.49673202614379,0.098039215686275,-0.869281045751634,-0.869281045751634
7,7,Unstimulated_S27,,,,Unstimulated,,27,0,8815276,55.21,FALSE,Not,precocious,0.675881223515757,0,2.34499056587463,2.34499056587463,-2.11187,-0.738562091503268,-0.843137254901961,-0.738562091503268,-0.006535947712418,-0.686274509803922,-0.764705882352941,-0.450980392156863,-0.450980392156863,-0.764705882352941,-0.738562091503268,-0.738562091503268,1.37908496732026,-0.215686274509804,-0.111111111111111,1.35294117647059,3.62745098039216,-0.26797385620915,-0.581699346405229,-0.503267973856209
8,8,Unstimulated_S28,,,,Unstimulated,,28,0,11774581,59.86,FALSE,Not,precocious,-0.129944674068573,0,1.22908041268624,1.22908041268624,-0.640618,0.202614379084967,-0.790849673202614,-0.006535947712418,-0.111111111111111,0.098039215686275,-0.92156862745098,-0.529411764705882,-0.529411764705882,-0.529411764705882,-0.006535947712418,-0.92156862745098,1.35294117647059,-1,-0.843137254901961,1.37908496732026,1.90196078431373,-0.503267973856209,-0.895424836601307,-0.058823529411765
9,9,Unstimulated_S2,,,,Unstimulated,,2,0,9720234,53.99,FALSE,Not,precocious,-0.078794345466201,0,1.76648853045176,1.76648853045176,-1.5246,-0.790849673202614,0.228758169934641,0.202614379084967,-0.712418300653595,-0.895424836601307,-0.450980392156863,-0.738562091503268,-0.738562091503268,-0.738562091503268,0.202614379084967,-0.764705882352941,0.176470588235294,0.045751633986928,-0.189542483660131,2.79084967320261,1.11764705882353,-0.816993464052288,-0.320261437908497,-0.895424836601307
10,10,Unstimulated_S31,,,,Unstimulated,,31,0,10155455,45.98,FALSE,Not,precocious,-0.377288501145034,0,1.34783836827593,1.34783836827593,-1.76481,-0.111111111111111,-0.712418300653595,0.228758169934641,-0.372549019607843,-0.058823529411765,-0.529411764705882,-0.92156862745098,-0.92156862745098,0.202614379084967,0.228758169934641,-0.111111111111111,-0.34640522875817,-0.660130718954248,-0.555555555555556,2.45098039215686,3.91503267973856,-0.895424836601307,-0.503267973856209,-0.581699346405229
11,11,Unstimulated_S32,,,,Unstimulated,,32,0,9149578,48.17,FALSE,Not,precocious,-0.219016051038501,0,2.07335479734641,2.07335479734641,-2.781,-0.843137254901961,0.254901960784314,-0.843137254901961,-0.424836601307189,-0.947712418300654,-0.738562091503268,0.228758169934641,0.228758169934641,0.228758169934641,-0.843137254901961,-0.006535947712418,-0.450980392156863,-0.137254901960784,-0.764705882352941,3.60130718954248,0.464052287581699,-0.058823529411765,-0.058823529411765,1.56209150326797
12,12,Unstimulated_S34,,,,Unstimulated,,34,0,8149340,43.84,FALSE,Not,precocious,0.084923378056526,0,1.36237188008125,1.36237188008125,-1.94028,-0.189542483660131,-0.764705882352941,-0.790849673202614,-0.477124183006536,-0.26797385620915,-0.006535947712418,-0.006535947712418,-0.006535947712418,-0.843137254901961,-0.111111111111111,0.202614379084967,-0.529411764705882,-0.372549019607843,-0.032679738562092,3.62745098039216,0.699346405228758,-0.947712418300654,-0.947712418300654,-0.947712418300654
13,13,Unstimulated_S38,,,,Unstimulated,,38,0,6376144,59.9,FALSE,Not,precocious,0.283335263544078,0,1.04280089226001,1.04280089226001,-0.938548,-0.084967320261438,0.150326797385621,-0.633986928104575,0.071895424836601,-0.581699346405229,0.202614379084967,0.202614379084967,0.202614379084967,-0.790849673202614,-0.712418300653595,-0.843137254901961,-0.738562091503268,-0.163398692810457,-0.398692810457516,0.725490196078431,1.30065359477124,0.045751633986928,0.568627450980392,-0.320261437908497
14,14,Unstimulated_S39,,,,Unstimulated,,39,0,7259321,57.69,FALSE,Not,precocious,0.084624419966066,0,1.62975309807266,1.62975309807266,-0.868449,-0.26797385620915,0.124183006535948,0.254901960784314,-0.633986928104575,-0.503267973856209,0.228758169934641,-0.111111111111111,-0.111111111111111,0.254901960784314,-0.398692810457516,0.228758169934641,-0.92156862745098,0.019607843137255,0.150326797385621,1.9281045751634,2.2156862745098,0.124183006535948,1.71895424836601,0.071895424836601
15,15,Unstimulated_S3,,,,Unstimulated,,3,0,11518031,48.43,FALSE,Not,precocious,0.167749777457075,0,2.19952511492256,2.19952511492256,-1.71391,-0.869281045751634,-0.633986928104575,-0.111111111111111,-0.790849673202614,-0.477124183006536,-0.843137254901961,-0.843137254901961,-0.843137254901961,-0.633986928104575,0.150326797385621,0.254901960784314,-0.006535947712418,-0.424836601307189,-0.712418300653595,0.908496732026144,2.08496732026144,-0.869281045751634,0.071895424836601,1.03921568627451
16,16,Unstimulated_S41,,,,Unstimulated,,41,0,5079683,35.12,FALSE,Not,precocious,-0.377507446817816,0,0.794513638319023,0.794513638319023,-0.830619,-0.450980392156863,-0.555555555555556,-0.398692810457516,0.254901960784314,-0.241830065359477,-0.111111111111111,0.254901960784314,0.254901960784314,-0.320261437908497,-0.555555555555556,-0.189542483660131,0.202614379084967,0.124183006535948,-0.660130718954248,0.359477124183007,1.58823529411765,-0.084967320261438,1.06535947712418,-0.26797385620915
17,17,Unstimulated_S46,,,,Unstimulated,,46,0,7662878,52.1,FALSE,Not,precocious,0.304535411192447,0,1.49975522020082,1.49975522020082,-0.876007,0.098039215686275,-0.189542483660131,-0.712418300653595,-0.189542483660131,-0.424836601307189,0.254901960784314,-0.790849673202614,-0.790849673202614,-0.686274509803922,-0.032679738562092,-0.790849673202614,-0.111111111111111,-0.712418300653595,0.045751633986928,1.19607843137255,0.647058823529412,-0.320261437908497,-0.084967320261438,-0.294117647058823
18,18,Unstimulated_S47,,,,Unstimulated,,47,0,5423800,33.02,FALSE,Not,precocious,-0.377749500780091,0,1.35825339598222,1.35825339598222,-2.35467,-0.633986928104575,-0.869281045751634,0.150326797385621,-0.241830065359477,-0.660130718954248,-0.633986928104575,-0.320261437908497,-0.189542483660131,-0.660130718954248,-0.607843137254902,-0.633986928104575,0.228758169934641,-0.241830065359477,-0.215686274509804,1.06535947712418,0.725490196078431,-1,1.56209150326797,-0.084967320261438
19,19,Unstimulated_S48,,,,Unstimulated,,48,0,9337236,57.84,FALSE,Not,precocious,-0.105078945032442,0,2.57171639070854,2.57171639070854,-2.70343,0.124183006535948,-0.084967320261438,-0.555555555555556,-0.084967320261438,0.124183006535948,-0.790849673202614,-0.633986928104575,-0.633986928104575,-0.372549019607843,0.045751633986928,0.071895424836601,0.254901960784314,-0.816993464052288,-1,1.87581699346405,1.66666666666667,-0.660130718954248,1.77124183006536,1.71895424836601
20,20,Unstimulated_S49,,,,Unstimulated,,49,0,8256257,52.03,FALSE,Not,precocious,0.139992692118437,0,1.36586837426839,1.36586837426839,-0.80613,0.071895424836601,-0.320261437908497,-0.032679738562092,-0.26797385620915,0.045751633986928,-0.320261437908497,-0.189542483660131,-0.477124183006536,-0.189542483660131,-1,-0.477124183006536,-0.790849673202614,-0.477124183006536,-0.163398692810457,2.13725490196078,0.830065359477124,-0.189542483660131,-0.26797385620915,1.01307189542484
21,21,Unstimulated_S4,,,,Unstimulated,,4,0,4056968,35.98,FALSE,Not,precocious,-0.127085581216698,0,1.29060257348377,1.29060257348377,-1.16002,-0.895424836601307,-0.398692810457516,-0.607843137254902,-0.660130718954248,-0.163398692810457,-0.189542483660131,-0.712418300653595,-0.816993464052288,-0.424836601307189,0.019607843137255,-0.424836601307189,-0.843137254901961,-0.947712418300654,0.019607843137255,0.568627450980392,1.43137254901961,-0.477124183006536,1.01307189542484,1.06535947712418
22,22,Unstimulated_S51,,,,Unstimulated,,51,0,4613328,20.94,FALSE,Not,precocious,0.389626177354479,0,2.95015775574063,2.95015775574063,-4.74628,-0.241830065359477,-0.26797385620915,0.045751633986928,0.228758169934641,-1,-0.372549019607843,-0.660130718954248,-0.241830065359477,-0.294117647058823,-0.163398692810457,-0.372549019607843,-0.189542483660131,-0.294117647058823,-0.424836601307189,0.490196078431373,2.18954248366013,-0.424836601307189,2.13725490196078,-0.477124183006536
23,23,Unstimulated_S52,,,,Unstimulated,,52,0,9512704,58.43,FALSE,Not,precocious,-0.030537472449679,0,1.3042726783525,1.3042726783525,-1.34034,-0.477124183006536,-0.137254901960784,-0.137254901960784,-0.843137254901961,0.019607843137255,-0.660130718954248,0.045751633986928,0.019607843137255,-0.477124183006536,-0.137254901960784,-0.294117647058823,-0.712418300653595,-0.058823529411765,-0.372549019607843,1.98039215686275,0.411764705882353,-0.241830065359477,0.019607843137255,-0.816993464052288
24,24,Unstimulated_S53,,,,Unstimulated,,53,0,10235345,50.72,FALSE,Not,precocious,-0.046050154919631,0,1.90825793452023,1.90825793452023,-1.55074,-0.816993464052288,0.045751633986928,-0.215686274509804,0.202614379084967,-0.816993464052288,-0.424836601307189,0.150326797385621,-1,-0.26797385620915,-0.215686274509804,0.150326797385621,-0.555555555555556,-0.581699346405229,-0.137254901960784,0.96078431372549,0.751633986928105,0.019607843137255,-0.816993464052288,0.490196078431373
25,25,Unstimulated_S54,,,,Unstimulated,,54,0,10507856,48.95,FALSE,Not,precocious,-0.268184671212693,0,1.22350806543136,1.22350806543136,-0.772773,-0.947712418300654,-0.816993464052288,0.124183006535948,-0.294117647058823,-0.869281045751634,-0.294117647058823,-0.215686274509804,-0.163398692810457,-0.084967320261438,0.124183006535948,-0.712418300653595,-0.764705882352941,-0.503267973856209,0.124183006535948,0.803921568627451,0.777777777777778,-0.633986928104575,-0.477124183006536,0.568627450980392
26,26,Unstimulated_S5,,,,Unstimulated,,5,0,7967630,51.33,FALSE,Not,precocious,-0.392653954296968,0,2.11223328399036,2.11223328399036,-3.68698,-0.503267973856209,-0.294117647058823,-0.660130718954248,0.150326797385621,-0.084967320261438,-0.477124183006536,-1,-0.424836601307189,0.071895424836601,-0.660130718954248,-0.215686274509804,-0.032679738562092,-0.895424836601307,-0.633986928104575,1.64052287581699,1.45751633986928,0.071895424836601,0.490196078431373,1.50980392156863
27,27,Unstimulated_S60,,,,Unstimulated,,60,0,10879271,57.69,FALSE,Not,precocious,0.103395129081275,0,1.33241999604339,1.33241999604339,-0.765042,-0.424836601307189,-0.581699346405229,-0.372549019607843,-0.032679738562092,-0.320261437908497,0.071895424836601,-0.137254901960784,0.124183006535948,0.098039215686275,-0.372549019607843,-0.555555555555556,-0.398692810457516,0.098039215686275,-0.084967320261438,2.11111111111111,1.48366013071895,0.150326797385621,1.87581699346405,1.77124183006536
28,28,Unstimulated_S61,,,,Unstimulated,,61,0,7621039,58.79,FALSE,Not,precocious,0.049738723615263,0,1.21434923571435,1.21434923571435,-0.709037,-0.058823529411765,-0.424836601307189,-0.189542483660131,-0.398692810457516,-0.189542483660131,-0.084967320261438,-0.372549019607843,-0.372549019607843,-0.869281045751634,-0.189542483660131,-0.398692810457516,-0.607843137254902,-0.869281045751634,-0.26797385620915,0.594771241830065,1.9281045751634,-0.372549019607843,1.03921568627451,2.13725490196078
29,29,Unstimulated_S62,,,,Unstimulated,,62,0,9053907,55.23,FALSE,Not,precocious,-0.536990836861034,0,0.581346951953815,0.581346951953815,-1.33491,-0.581699346405229,-0.372549019607843,-0.424836601307189,-0.555555555555556,0.254901960784314,-0.26797385620915,0.124183006535948,-0.137254901960784,-0.503267973856209,0.254901960784314,-0.660130718954248,-0.215686274509804,-0.084967320261438,0.071895424836601,0.986928104575163,0.986928104575163,-0.712418300653595,-0.241830065359477,1.95424836601307
30,30,Unstimulated_S63,,,,Unstimulated,,63,0,8193276,49.72,FALSE,Not,precocious,0.184080617140617,0,1.5819926128926,1.5819926128926,-1.26138,0.045751633986928,-0.503267973856209,-0.294117647058823,-0.215686274509804,0.228758169934641,-0.503267973856209,-0.424836601307189,-0.660130718954248,-0.581699346405229,-0.790849673202614,-0.163398692810457,0.150326797385621,-0.26797385620915,-0.241830065359477,0.673202614379085,0.594771241830065,-0.137254901960784,1.19607843137255,0.38562091503268
31,31,Unstimulated_S66,,,,Unstimulated,,66,0,8937587,52.09,FALSE,Not,precocious,0.17751753523163,0,1.73544400917904,1.73544400917904,-2.55127,-0.686274509803922,-0.032679738562092,-0.477124183006536,-0.137254901960784,-0.006535947712418,-0.581699346405229,-0.163398692810457,0.045751633986928,-0.241830065359477,-0.633986928104575,0.019607843137255,0.045751633986928,0.071895424836601,-0.816993464052288,1.22222222222222,2.11111111111111,-0.215686274509804,-0.294117647058823,1.87581699346405
32,32,Unstimulated_S6,,,,Unstimulated,,6,0,6732191,44.63,FALSE,Not,precocious,-0.474766805584516,0,1.252784626047,1.252784626047,-1.23347,-0.660130718954248,0.071895424836601,-0.241830065359477,0.124183006535948,-0.843137254901961,-0.869281045751634,0.019607843137255,-0.712418300653595,-0.816993464052288,-0.424836601307189,-0.058823529411765,-0.660130718954248,-0.633986928104575,-0.477124183006536,1.27450980392157,0.803921568627451,-0.555555555555556,1.95424836601307,1.40522875816993
33,33,Unstimulated_S70,,,,Unstimulated,,70,0,8696132,48.3,FALSE,Not,precocious,0.119887417989786,0,1.7206418115031,1.7206418115031,-0.55578,-0.294117647058823,-0.163398692810457,-0.26797385620915,0.045751633986928,-0.111111111111111,0.098039215686275,-0.241830065359477,0.150326797385621,-0.947712418300654,-0.294117647058823,-0.607843137254902,0.124183006535948,-0.189542483660131,-0.294117647058823,1.77124183006536,1.84967320261438,-0.764705882352941,0.673202614379085,1.69281045751634
34,34,Unstimulated_S71,,,,Unstimulated,,71,0,8314698,51.88,FALSE,Not,precocious,-0.088539818281346,0,1.32948738544955,1.32948738544955,-1.61372,-0.372549019607843,-0.947712418300654,-0.084967320261438,-0.163398692810457,-0.790849673202614,-0.686274509803922,-0.816993464052288,-0.215686274509804,-0.895424836601307,-0.477124183006536,-1,-0.372549019607843,-0.843137254901961,-0.947712418300654,0.620915032679739,1.64052287581699,-0.738562091503268,0.38562091503268,-0.241830065359477
35,35,Unstimulated_S72,,,,Unstimulated,,72,0,10410498,41.6,FALSE,Not,precocious,-0.401469888564962,0,1.44029304141561,1.44029304141561,-2.19782,-0.712418300653595,-0.477124183006536,0.071895424836601,-0.607843137254902,0.071895424836601,-0.895424836601307,-0.477124183006536,-0.294117647058823,0.019607843137255,-0.241830065359477,-0.816993464052288,-0.137254901960784,0.202614379084967,-0.581699346405229,-0.607843137254902,0.96078431372549,-0.790849673202614,1.69281045751634,1.19607843137255
36,36,Unstimulated_S74,,,,Unstimulated,,74,0,7907967,47.26,FALSE,Not,precocious,-0.44282206559676,0,0.713128625087239,0.713128625087239,-1.05828,0.019607843137255,0.019607843137255,-0.320261437908497,-1,-0.633986928104575,-0.947712418300654,-0.294117647058823,-0.947712418300654,-1,-0.816993464052288,-0.503267973856209,-1,-0.111111111111111,-0.058823529411765,-1,2.00653594771242,0.228758169934641,-1,0.019607843137255
