,c,cell,assay,ko,stimulant,captureActual,replicate,cell.num,obstime,total,aligned,disrupted,Precocious,S.hat,capture,capture.orig,module.score,tau,init_1,init_2,init_3,init_4,init_5,init_6,init_7,init_8,init_9,init_10,init_11,init_12,init_13,init_14,init_15,init_16,init_17,init_18,init_19,init_20
37,37,Unstimulated_S75,,,,Unstimulated,,75,0,10363443,47.97,FALSE,Not,precocious,-0.323736955899488,0,0.865855920698812,0.865855920698812,-0.697248,-0.163398692810457,-0.058823529411765,-0.869281045751634,-0.816993464052288,-0.137254901960784,-0.241830065359477,-0.947712418300654,-0.058823529411765,-0.163398692810457,-0.26797385620915,-0.869281045751634,-0.163398692810457,-0.006535947712418,-0.503267973856209,-0.816993464052288,1.98039215686275,-0.006535947712418,0.359477124183007,0.333333333333333
38,38,Unstimulated_S76,,,,Unstimulated,,76,0,6081710,40.82,FALSE,Not,precocious,-0.458305063422689,0,1.64484110908905,1.64484110908905,-2.70394,-0.137254901960784,-0.895424836601307,0.098039215686275,0.019607843137255,-0.215686274509804,-0.816993464052288,-0.058823529411765,-0.581699346405229,-0.137254901960784,-0.084967320261438,-0.686274509803922,-0.424836601307189,0.254901960784314,-0.895424836601307,0.019607843137255,0.908496732026144,-0.843137254901961,1.50980392156863,0.359477124183007
39,39,Unstimulated_S77,,,,Unstimulated,,77,0,8659013,48.72,FALSE,Not,precocious,-0.416190037670538,0,1.36054571785652,1.36054571785652,-1.9124,-1,-0.241830065359477,-0.686274509803922,-0.947712418300654,-0.712418300653595,0.124183006535948,-0.581699346405229,-0.895424836601307,0.045751633986928,0.071895424836601,0.098039215686275,0.019607843137255,-0.790849673202614,-0.869281045751634,-0.215686274509804,1.40522875816993,-0.92156862745098,0.882352941176471,0.882352941176471
40,40,Unstimulated_S78,,,,Unstimulated,,78,0,8755559,54.35,FALSE,Not,precocious,0.173061240060404,0,1.52812802948466,1.52812802948466,-0.975109,-0.764705882352941,-1,-0.895424836601307,-0.581699346405229,-0.372549019607843,-0.215686274509804,-0.503267973856209,-0.503267973856209,-0.215686274509804,-0.947712418300654,-0.895424836601307,-0.294117647058823,-0.320261437908497,0.098039215686275,-0.633986928104575,1.19607843137255,-0.111111111111111,0.333333333333333,1.1437908496732
41,41,Unstimulated_S79,,,,Unstimulated,,79,0,8325169,43.53,FALSE,Not,precocious,-0.916022317498253,0,0.699628908015044,0.699628908015044,-0.889108,-0.555555555555556,-0.686274509803922,-0.581699346405229,-0.320261437908497,0.150326797385621,-0.137254901960784,-0.895424836601307,-0.869281045751634,0.124183006535948,-0.581699346405229,-0.947712418300654,-0.947712418300654,0.228758169934641,-0.686274509803922,0.071895424836601,1.87581699346405,0.254901960784314,0.934640522875817,0.934640522875817
42,42,Unstimulated_S80,,,,Unstimulated,,80,0,8745913,44.71,FALSE,Not,precocious,0.036025735409199,0,1.20708317673622,1.20708317673622,-1.091,0.150326797385621,0.098039215686275,-0.503267973856209,-0.503267973856209,-0.398692810457516,-0.163398692810457,0.071895424836601,0.071895424836601,-0.712418300653595,-0.503267973856209,-0.581699346405229,-0.477124183006536,-0.92156862745098,0.437908496732026,-0.137254901960784,0.359477124183007,-0.032679738562092,1.40522875816993,1.74509803921569
43,43,Unstimulated_S82,,,,Unstimulated,,82,0,7129797,58.54,FALSE,Not,precocious,0.341935403150136,0,1.4824703449985,1.4824703449985,-0.796328,-0.215686274509804,-0.660130718954248,-0.947712418300654,-0.869281045751634,-0.555555555555556,0.019607843137255,-0.26797385620915,-0.26797385620915,-0.398692810457516,-0.320261437908497,-0.320261437908497,-0.816993464052288,-0.738562091503268,2.03267973856209,-0.712418300653595,0.673202614379085,-0.398692810457516,-0.424836601307189,-0.424836601307189
44,44,Unstimulated_S83,,,,Unstimulated,,83,0,4940158,38.3,FALSE,Not,precocious,-1.11179910751604,0,0.322199718671343,0.322199718671343,-0.827941,-0.398692810457516,-0.215686274509804,-0.816993464052288,-0.686274509803922,-0.764705882352941,-1,-0.084967320261438,-0.084967320261438,0.150326797385621,-0.869281045751634,-0.26797385620915,-0.241830065359477,-0.529411764705882,1.16993464052288,-0.843137254901961,1.01307189542484,-0.607843137254902,-0.163398692810457,0.856209150326797
45,45,Unstimulated_S8,,,,Unstimulated,,8,0,10430027,30.04,FALSE,Not,precocious,-0.345070530347885,0,1.1320048544601,1.1320048544601,-1.98,-0.032679738562092,-0.607843137254902,-0.163398692810457,0.098039215686275,-0.032679738562092,0.045751633986928,-0.869281045751634,-0.320261437908497,-0.555555555555556,0.098039215686275,-0.084967320261438,-0.633986928104575,-0.450980392156863,1.56209150326797,-0.006535947712418,2.13725490196078,-0.529411764705882,0.908496732026144,0.673202614379085
46,46,Unstimulated_S90,,,,Unstimulated,,90,0,6278109,52.22,FALSE,Not,precocious,0.115431988805128,0,2.61014112158596,2.61014112158596,2.20532,0.437908496732026,1.77124183006536,-1,-0.895424836601307,0.202614379084967,-0.032679738562092,0.098039215686275,0.098039215686275,-0.032679738562092,-0.686274509803922,-0.241830065359477,-0.320261437908497,0.176470588235294,1.01307189542484,0.228758169934641,0.568627450980392,-0.450980392156863,0.516339869281046,-0.163398692810457
47,47,Unstimulated_S92,,,,Unstimulated,,92,0,7433489,55.18,FALSE,Not,precocious,-0.304135127530924,0,1.55674487610577,1.55674487610577,-1.84687,2.03267973856209,0.437908496732026,0.019607843137255,-0.058823529411765,-0.294117647058823,-0.607843137254902,-0.686274509803922,-0.686274509803922,-0.607843137254902,-0.895424836601307,-0.137254901960784,-0.084967320261438,-0.34640522875817,1.95424836601307,-0.111111111111111,1.06535947712418,1.35294117647059,-0.660130718954248,0.516339869281046
48,48,Unstimulated_S93,,,,Unstimulated,,93,0,10907868,54.54,FALSE,Not,precocious,-0.059428873896002,0,2.0481877219294,2.0481877219294,-1.53883,-0.607843137254902,0.882352941176471,-0.058823529411765,1.77124183006536,0.437908496732026,-0.058823529411765,0.437908496732026,0.437908496732026,-0.058823529411765,-0.058823529411765,0.124183006535948,-0.26797385620915,-0.607843137254902,0.934640522875817,-0.790849673202614,0.333333333333333,1.37908496732026,1.1437908496732,1.98039215686275
49,49,Unstimulated_S96,,,,Unstimulated,,96,0,11402626,54.33,FALSE,Not,precocious,-0.527763937536199,0,1.42296772632638,1.42296772632638,-1.63557,1.77124183006536,1.32679738562092,2.03267973856209,0.620915032679739,2.03267973856209,2.03267973856209,2.03267973856209,2.03267973856209,2.03267973856209,2.03267973856209,0.045751633986928,0.071895424836601,0.437908496732026,0.856209150326797,0.254901960784314,0.516339869281046,-0.34640522875817,1.74509803921569,-1
50,50,LPS_1h_S10,,,LPS,1h,,10,1,3462546,46.6,FALSE,Not,precocious,-0.307189779389437,1,0.873892060499026,0.873892060499026,0.673246,1.16993464052288,0.620915032679739,0.437908496732026,1.27450980392157,1.16993464052288,0.437908496732026,1.16993464052288,1.16993464052288,0.437908496732026,0.437908496732026,-0.032679738562092,-0.581699346405229,2.03267973856209,0.882352941176471,-0.189542483660131,1.50980392156863,2.03267973856209,1.98039215686275,-0.633986928104575
51,51,LPS_1h_S11,,,LPS,1h,,11,1,6050843,48.25,FALSE,Not,precocious,-0.145663033386883,1,1.01346956782833,1.01346956782833,0.805228,0.882352941176471,1.27450980392157,1.16993464052288,1.22222222222222,1.56209150326797,1.16993464052288,1.77124183006536,1.77124183006536,1.16993464052288,1.16993464052288,1.22222222222222,-0.058823529411765,1.16993464052288,1.77124183006536,-0.555555555555556,1.69281045751634,1.16993464052288,-0.372549019607843,1.82352941176471
52,52,LPS_1h_S12,,,LPS,1h,,12,1,6004656,50.69,FALSE,Not,precocious,-0.349492809364812,1,0.527924383881485,0.527924383881485,0.449168,1.95424836601307,1.95424836601307,1.77124183006536,1.84967320261438,0.882352941176471,1.77124183006536,0.882352941176471,0.882352941176471,1.77124183006536,1.77124183006536,1.27450980392157,-0.503267973856209,1.95424836601307,-0.607843137254902,-0.764705882352941,0.490196078431373,1.56209150326797,-0.137254901960784,-0.372549019607843
53,53,LPS_1h_S13,,,LPS,1h,,13,1,9165165,47.15,FALSE,Not,precocious,-0.191021850847008,1,0.766023528739103,0.766023528739103,1.06239,0.620915032679739,2.03267973856209,1.56209150326797,0.568627450980392,0.856209150326797,0.882352941176471,1.95424836601307,0.856209150326797,0.882352941176471,0.882352941176471,0.620915032679739,-0.895424836601307,0.934640522875817,0.620915032679739,-0.398692810457516,1.71895424836601,0.856209150326797,-0.633986928104575,0.594771241830065
54,54,LPS_1h_S14,,,LPS,1h,,14,1,6112002,53.12,FALSE,Not,precocious,0.429928778320194,1,1.30505942061163,1.30505942061163,0.618696,0.934640522875817,-0.34640522875817,1.95424836601307,2.13725490196078,1.22222222222222,0.620915032679739,0.934640522875817,0.934640522875817,0.620915032679739,1.22222222222222,1.77124183006536,-0.869281045751634,0.856209150326797,1.27450980392157,-0.660130718954248,1.03921568627451,0.882352941176471,1.22222222222222,0.124183006535948
55,55,LPS_1h_S15,,,LPS,1h,,15,1,11888184,46.35,FALSE,Not,precocious,-0.292143127728399,1,1.09954401631478,1.09954401631478,0.696411,0.856209150326797,1.16993464052288,0.934640522875817,1.87581699346405,1.27450980392157,1.22222222222222,0.856209150326797,1.95424836601307,1.22222222222222,0.620915032679739,0.437908496732026,0.098039215686275,1.22222222222222,1.22222222222222,0.124183006535948,0.38562091503268,0.437908496732026,-0.189542483660131,0.908496732026144
56,56,LPS_1h_S16,,,LPS,1h,,16,1,7979607,57.45,FALSE,Not,precocious,0.640864047711885,1,1.32182195945738,1.32182195945738,-0.0502894,1.27450980392157,1.22222222222222,0.882352941176471,1.06535947712418,1.77124183006536,0.856209150326797,1.22222222222222,1.22222222222222,0.856209150326797,0.856209150326797,1.16993464052288,-0.686274509803922,1.27450980392157,0.542483660130719,0.045751633986928,1.74509803921569,1.77124183006536,-0.790849673202614,-0.137254901960784
